     2.000     3.000     2.000     3.000     0.432     0.432     0.672 51394   1172 115021
     3.000     3.000     3.000     3.000     1.380     0.574     0.473 51395   1167 115023
     2.000     2.000     2.000     2.000    -0.252     0.429     0.473 51396   1167 115023
     1.000     1.000     1.000     1.000    -1.339     0.386     0.473 51397   1167 115023
     1.000     3.000     3.000     2.000     0.204     0.418     0.473 51398   1167 115023
     2.000     2.000     2.000     2.000    -0.252     0.429     0.473 51399   1167 115023
     2.000     3.000     3.000     3.000     0.935     0.492     0.473 51400   1167 115023
     2.000     3.000     3.000     3.000     0.935     0.492     0.473 51401   1167 115023
     2.000     2.000     2.000     3.000     0.110     0.426     0.473 51402   1167 115023
     2.000     3.000     2.000     3.000     0.432     0.432     0.473 51403   1167 115023
     3.000     3.000     3.000     3.000     1.380     0.574     0.473 51404   1167 115023
     2.000     2.000     2.000     2.000    -0.252     0.429     0.473 51405   1167 115023
     1.000     2.000     2.000     1.000    -0.798     0.406     0.473 51406   1167 115023
     3.000     3.000     3.000     3.000     1.380     0.574     0.473 51407   1167 115023
     2.000     3.000     2.000     2.000     0.067     0.425     0.473 51408   1167 115023
     3.000     3.000     3.000     3.000     1.380     0.574     0.473 51409   1167 115023
     3.000     3.000     3.000     3.000     1.380     0.574     0.473 51410   1167 115023
     3.000     3.000     3.000     3.000     1.380     0.574     0.473 51411   1167 115023
     2.000     3.000     3.000     3.000     0.935     0.492     0.473 51412   1167 115023
     3.000     2.000     3.000     3.000     0.864     0.466     0.473 51413   1167 115023
     2.000     2.000     3.000     2.000     0.161     0.426     0.473 51414   1167 115023
     2.000     3.000     3.000     3.000     0.935     0.492     0.473 51415   1167 115023
     3.000     2.000     3.000     3.000     0.864     0.466     0.473 51416   1167 115023
     2.000     3.000     3.000     2.000     0.487     0.438     0.473 51417   1167 115023
     1.000     2.000     2.000     2.000    -0.498     0.419     0.473 51418   1167 115023
     3.000     2.000     3.000     3.000     0.864     0.466     0.473 51419   1167 115023
     0.000     0.000     0.000     0.000    -2.465     0.491     0.473 51420   1167 115023
     0.000     3.000     3.000     0.000    -0.518     0.396     1.024 51421   1166 115024
